scenario_id,method_family,model_slug,model_short,true_effect,estimated,rel_error,L2b,L2b_plus,method_confidence,specification_confidence,numerical_confidence
s85,RDD,claude-opus-4-6,Opus,0.245421,0.2766505,0.1272,1,1,0.97,0.82,0.52
s86,RDD,claude-opus-4-6,Opus,0.204599,0.201513,0.0151,1,1,0.97,0.82,0.55
s87,RDD,claude-opus-4-6,Opus,0.295137,0.2592,0.1218,1,1,0.97,0.82,0.45
s88,RDD,claude-opus-4-6,Opus,0.127651,0.1181,0.0748,1,1,0.97,0.82,0.52
s89,RDD,claude-opus-4-6,Opus,0.23643,0.2891448,0.223,1,1,0.97,0.85,0.55
s90,RDD,claude-opus-4-6,Opus,0.224653,1.0,3.4513,1,0,0.97,0.82,0.55
s91,RDD,claude-opus-4-6,Opus,0.146146,0.3134036,1.1445,1,0,0.97,0.75,0.45
s92,RDD,claude-opus-4-6,Opus,0.275003,0.3070864,0.1167,1,1,0.95,0.72,0.45
s93,RDD,claude-opus-4-6,Opus,0.17718,0.1535,0.1336,1,1,0.97,0.75,0.52
s94,RDD,claude-opus-4-6,Opus,0.264096,0.1952524,0.2607,1,1,0.97,0.82,0.55
s95,RDD,claude-opus-4-6,Opus,0.31655,0.2636,0.1673,1,1,0.97,0.72,0.55
s96,RDD,claude-opus-4-6,Opus,0.191463,0.2465,0.2875,1,1,0.97,0.82,0.52
s97,RDD,claude-opus-4-6,Opus,0.204837,,,0,0,0.97,0.72,0.45
s98,RDD,claude-opus-4-6,Opus,0.05694,0.5003,7.7864,1,0,0.97,0.8,0.52
s99,RDD,claude-opus-4-6,Opus,0.243461,0.2011,0.174,1,1,0.97,0.75,0.45
s100,RDD,claude-opus-4-6,Opus,0.199386,0.1999707,0.0029,1,1,0.97,0.82,0.55
s01,DID,claude-sonnet-4-20250514,Sonnet,-0.238664,,,0,0,0.95,0.85,0.7
s02,DID,claude-sonnet-4-20250514,Sonnet,-0.187556,-0.1876,0.0002,1,1,0.95,0.85,0.7
s03,DID,claude-sonnet-4-20250514,Sonnet,0.284571,,,0,0,0.92,0.85,0.65
s04,DID,claude-sonnet-4-20250514,Sonnet,0.105831,0.1058,0.0003,1,1,0.85,0.78,0.45
s05,DID,claude-sonnet-4-20250514,Sonnet,0.263036,0.263,0.0001,1,1,0.85,0.75,0.4
s06,DID,claude-sonnet-4-20250514,Sonnet,0.249357,0.2494,0.0002,1,1,0.85,0.75,0.6
s07,DID,claude-sonnet-4-20250514,Sonnet,-0.159497,,,0,0,0.85,0.75,0.4
s08,DID,claude-sonnet-4-20250514,Sonnet,-0.304917,,,0,0,0.85,0.75,0.6
s09,DID,claude-sonnet-4-20250514,Sonnet,0.2975,0.2975,0.0,1,1,0.92,0.85,0.65
s10,DID,claude-sonnet-4-20250514,Sonnet,0.369059,,,0,0,0.85,0.78,0.65
s11,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.020114,-0.0397,0.9737,1,0,0.95,0.85,0.65
s12,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.02601,1.0,39.4468,1,0,0.95,0.85,0.65
s13,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.017892,-0.051197,1.8614,1,0,0.95,0.85,0.7
s14,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,0.022646,0.0665,1.9365,1,0,0.95,0.85,0.7
s15,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,0.029133,0.1196,3.1053,1,0,0.95,0.85,0.7
s16,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.026697,-0.1063,2.9817,1,0,0.95,0.75,0.4
s17,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.035,-0.0716,1.0457,1,0,0.85,0.75,0.4
s18,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.014546,-1.0,67.7474,1,0,0.85,0.65,0.45
s19,IV,claude-sonnet-4-20250514,Sonnet,0.217518,,,0,0,0.25,0.65,0.35
s20,IV,claude-sonnet-4-20250514,Sonnet,0.496731,,,0,0,0.85,0.75,0.6
s21,IV,claude-sonnet-4-20250514,Sonnet,-0.208976,,,0,0,0.92,0.78,0.65
s22,IV,claude-sonnet-4-20250514,Sonnet,0.456663,,,0,0,0.85,0.75,0.6
s23,IV,claude-sonnet-4-20250514,Sonnet,0.193716,,,0,0,0.92,0.78,0.45
s24,IV,claude-sonnet-4-20250514,Sonnet,-0.233107,,,0,0,0.65,0.75,0.4
s25,RDD,claude-sonnet-4-20250514,Sonnet,0.254304,,,0,0,0.95,0.85,0.7
s26,RDD,claude-sonnet-4-20250514,Sonnet,0.244251,0.2188,0.1042,1,1,0.95,0.85,0.7
s27,RDD,claude-sonnet-4-20250514,Sonnet,0.261718,,,0,0,0.95,0.85,0.7
s28,RDD,claude-sonnet-4-20250514,Sonnet,-0.23935,1.0,5.178,1,0,0.85,0.75,0.65
s29,RDD,claude-sonnet-4-20250514,Sonnet,0.255068,,,0,0,0.95,0.85,0.7
s30,RDD,claude-sonnet-4-20250514,Sonnet,0.227563,0.2212,0.028,1,1,0.85,0.75,0.6
s31,DID,claude-sonnet-4-20250514,Sonnet,-0.251343,-0.251343,0.0,1,1,0.92,0.85,0.65
s32,DID,claude-sonnet-4-20250514,Sonnet,0.311092,0.3111,0.0,1,1,0.85,0.75,0.6
s33,DID,claude-sonnet-4-20250514,Sonnet,-0.27914,-0.27914,0.0,1,1,0.95,0.85,0.7
s34,DID,claude-sonnet-4-20250514,Sonnet,0.153932,0.1539,0.0002,1,1,0.85,0.75,0.45
s35,DID,claude-sonnet-4-20250514,Sonnet,-0.290525,-0.2905,0.0001,1,1,0.95,0.75,0.65
s37,DID,claude-sonnet-4-20250514,Sonnet,-0.180967,-0.181,0.0002,1,1,0.85,0.75,0.6
s38,DID,claude-sonnet-4-20250514,Sonnet,-0.161211,,,0,0,0.95,0.85,0.6
s39,DID,claude-sonnet-4-20250514,Sonnet,0.197254,0.57785,1.9295,1,0,0.95,0.75,0.6
s40,DID,claude-sonnet-4-20250514,Sonnet,0.412751,0.4505,0.0915,1,1,0.95,0.85,0.65
s41,DID,claude-sonnet-4-20250514,Sonnet,-0.08474,,,0,0,0.85,0.75,0.6
s42,DID,claude-sonnet-4-20250514,Sonnet,0.182152,0.35472267,0.9474,1,0,0.95,0.75,0.6
s43,DID,claude-sonnet-4-20250514,Sonnet,-0.188272,-0.1883,0.0001,1,1,0.92,0.85,0.65
s44,DID,claude-sonnet-4-20250514,Sonnet,0.143254,0.1433,0.0003,1,1,0.85,0.7,0.45
s45,DID,claude-sonnet-4-20250514,Sonnet,-0.278644,,,0,0,0.95,0.85,0.6
s46,DID,claude-sonnet-4-20250514,Sonnet,-0.178946,,,0,0,0.95,0.85,0.7
s47,DID,claude-sonnet-4-20250514,Sonnet,-0.251963,,,0,0,0.95,0.85,0.65
s48,DID,claude-sonnet-4-20250514,Sonnet,0.311359,0.3114,0.0001,1,1,0.92,0.75,0.65
s49,DID,claude-sonnet-4-20250514,Sonnet,-0.030578,0.380923,13.4574,1,0,0.95,0.85,0.6
s50,DID,claude-sonnet-4-20250514,Sonnet,0.406195,0.4062,0.0,1,1,0.95,0.75,0.6
s51,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.019207,-0.0536,1.7906,1,0,0.95,0.85,0.65
s52,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,0.025432,,,0,0,0.95,0.85,0.7
s53,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.02978,-1.0,32.5796,1,0,0.95,0.75,0.6
s54,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,0.01811,0.0164,0.0944,1,1,0.95,0.75,0.4
s55,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.027954,-0.087,2.1123,1,0,0.92,0.78,0.65
s56,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,0.022125,0.529,22.9096,1,0,0.95,0.75,0.65
s57,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.015384,-1.552,99.884,1,0,0.85,0.7,0.6
s58,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.024748,,,0,0,0.95,0.85,0.7
s59,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,0.029434,0.0575,0.9535,1,0,0.95,0.85,0.7
s60,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.021024,,,0,0,0.85,0.75,0.4
s61,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,0.018012,0.0321,0.7821,1,0,0.95,0.85,0.6
s62,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.017795,-0.0476,1.6749,1,0,0.92,0.78,0.65
s63,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,0.015153,0.0174,0.1483,1,1,0.95,0.65,0.45
s64,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.023212,-0.0918,2.9549,1,0,0.9,0.75,0.4
s65,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,0.028048,0.016,0.4295,1,1,0.95,0.85,0.6
s66,EVENT_STUDY,claude-sonnet-4-20250514,Sonnet,-0.01299,-0.0338,1.602,1,0,0.95,0.85,0.65
s67,IV,claude-sonnet-4-20250514,Sonnet,0.487238,,,0,0,0.85,0.75,0.6
s68,IV,claude-sonnet-4-20250514,Sonnet,-0.434746,,,0,0,0.95,0.85,0.7
s69,IV,claude-sonnet-4-20250514,Sonnet,0.405397,,,0,0,0.92,0.78,0.65
s70,IV,claude-sonnet-4-20250514,Sonnet,-0.292427,,,0,0,0.85,0.75,0.65
s71,IV,claude-sonnet-4-20250514,Sonnet,0.511746,0.5117,0.0001,1,1,0.85,0.7,0.45
s72,IV,claude-sonnet-4-20250514,Sonnet,-0.469252,0.304,1.6478,1,0,0.85,0.75,0.45
s73,IV,claude-sonnet-4-20250514,Sonnet,0.412201,,,0,0,0.85,0.75,0.45
s74,IV,claude-sonnet-4-20250514,Sonnet,-0.153897,,,0,0,0.85,0.75,0.6
s75,IV,claude-sonnet-4-20250514,Sonnet,0.449853,,,0,0,0.85,0.75,0.6
s76,IV,claude-sonnet-4-20250514,Sonnet,-0.193643,,,0,0,0.85,0.75,0.4
s77,IV,claude-sonnet-4-20250514,Sonnet,0.637287,,,0,0,0.85,0.75,0.6
s78,IV,claude-sonnet-4-20250514,Sonnet,-0.314225,,,0,0,0.75,0.65,0.45
s79,IV,claude-sonnet-4-20250514,Sonnet,0.229228,,,0,0,0.85,0.75,0.6
s80,IV,claude-sonnet-4-20250514,Sonnet,-0.302934,,,0,0,0.75,0.7,0.45
s81,IV,claude-sonnet-4-20250514,Sonnet,0.387703,,,0,0,0.85,0.7,0.45
s82,IV,claude-sonnet-4-20250514,Sonnet,0.003635,0.003635,0.0,1,1,0.85,0.75,0.6
s83,IV,claude-sonnet-4-20250514,Sonnet,0.212884,,,0,0,0.85,0.75,0.45
s84,IV,claude-sonnet-4-20250514,Sonnet,-0.189002,,,0,0,0.95,0.85,0.65
s85,RDD,claude-sonnet-4-20250514,Sonnet,0.245421,,,0,0,0.95,0.85,0.7
s86,RDD,claude-sonnet-4-20250514,Sonnet,0.204599,,,0,0,0.95,0.85,0.65
s87,RDD,claude-sonnet-4-20250514,Sonnet,0.295137,0.2592,0.1218,1,1,0.95,0.75,0.6
s88,RDD,claude-sonnet-4-20250514,Sonnet,0.127651,,,0,0,0.95,0.85,0.7
s89,RDD,claude-sonnet-4-20250514,Sonnet,0.23643,,,0,0,0.95,0.85,0.7
s90,RDD,claude-sonnet-4-20250514,Sonnet,0.224653,0.1806,0.1961,1,1,0.95,0.85,0.7
s91,RDD,claude-sonnet-4-20250514,Sonnet,0.146146,0.3122,1.1362,1,0,0.95,0.85,0.7
s92,RDD,claude-sonnet-4-20250514,Sonnet,0.275003,,,0,0,0.95,0.85,0.65
s93,RDD,claude-sonnet-4-20250514,Sonnet,0.17718,,,0,0,0.95,0.85,0.65
s94,RDD,claude-sonnet-4-20250514,Sonnet,0.264096,,,0,0,0.95,0.85,0.65
s95,RDD,claude-sonnet-4-20250514,Sonnet,0.31655,,,0,0,0.95,0.85,0.65
s96,RDD,claude-sonnet-4-20250514,Sonnet,0.191463,0.2749,0.4358,1,1,0.95,0.85,0.7
s97,RDD,claude-sonnet-4-20250514,Sonnet,0.204837,,,0,0,0.95,0.85,0.7
s98,RDD,claude-sonnet-4-20250514,Sonnet,0.05694,,,0,0,0.95,0.85,0.6
s99,RDD,claude-sonnet-4-20250514,Sonnet,0.243461,,,0,0,0.95,0.85,0.65
s100,RDD,claude-sonnet-4-20250514,Sonnet,0.199386,,,0,0,0.95,0.85,0.7
s01,DID,gpt-4o,GPT-4o,-0.238664,,,1,0,0.9,0.75,0.7
s02,DID,gpt-4o,GPT-4o,-0.187556,0.514671,3.7441,1,0,0.95,0.7,0.6
s03,DID,gpt-4o,GPT-4o,0.284571,0.48904,0.7185,1,0,0.9,0.75,0.7
s04,DID,gpt-4o,GPT-4o,0.105831,0.105831,0.0,1,1,0.95,0.75,0.7
s05,DID,gpt-4o,GPT-4o,0.263036,0.420672,0.5993,1,0,0.9,0.7,0.6
s06,DID,gpt-4o,GPT-4o,0.249357,,,0,0,0.95,0.8,0.75
s07,DID,gpt-4o,GPT-4o,-0.159497,-0.1594968,0.0,1,1,0.9,0.7,0.6
s08,DID,gpt-4o,GPT-4o,-0.304917,,,0,0,0.85,0.7,0.6
s09,DID,gpt-4o,GPT-4o,0.2975,0.491504,0.6521,1,0,0.95,0.8,0.75
s10,DID,gpt-4o,GPT-4o,0.369059,0.57994117,0.5714,1,0,0.9,0.8,0.75
s11,EVENT_STUDY,gpt-4o,GPT-4o,-0.020114,,,0,0,0.95,0.85,0.75
s12,EVENT_STUDY,gpt-4o,GPT-4o,-0.02601,1.0,39.4468,1,0,0.95,0.85,0.75
s13,EVENT_STUDY,gpt-4o,GPT-4o,-0.017892,-0.0328808284675,0.8377,1,0,0.95,0.8,0.75
s14,EVENT_STUDY,gpt-4o,GPT-4o,0.022646,0.06113154,1.6994,1,0,0.95,0.9,0.85
s15,EVENT_STUDY,gpt-4o,GPT-4o,0.029133,,,0,0,0.95,0.85,0.8
s16,EVENT_STUDY,gpt-4o,GPT-4o,-0.026697,0.04666,2.7478,1,0,0.95,0.75,0.6
s17,EVENT_STUDY,gpt-4o,GPT-4o,-0.035,,,0,0,0.95,0.7,0.6
s18,EVENT_STUDY,gpt-4o,GPT-4o,-0.014546,,,0,0,0.85,0.7,0.65
s19,IV,gpt-4o,GPT-4o,0.217518,,,1,0,1.0,0.85,0.7
s20,IV,gpt-4o,GPT-4o,0.496731,,,0,0,0.9,0.8,0.75
s21,IV,gpt-4o,GPT-4o,-0.208976,-0.161703,0.2262,1,1,0.95,0.8,0.7
s22,IV,gpt-4o,GPT-4o,0.456663,0.4566631,0.0,1,1,0.95,0.8,0.75
s23,IV,gpt-4o,GPT-4o,0.193716,0.07107621,0.6331,1,0,0.95,0.8,0.7
s24,IV,gpt-4o,GPT-4o,-0.233107,-0.23283,0.0012,1,1,0.9,0.75,0.6
s25,RDD,gpt-4o,GPT-4o,0.254304,1.0,2.9323,1,0,1.0,0.85,0.7
s26,RDD,gpt-4o,GPT-4o,0.244251,1.0,3.0941,1,0,0.95,0.85,0.8
s27,RDD,gpt-4o,GPT-4o,0.261718,,,0,0,0.95,0.8,0.7
s28,RDD,gpt-4o,GPT-4o,-0.23935,1.0,5.178,1,0,0.95,0.8,0.7
s29,RDD,gpt-4o,GPT-4o,0.255068,0.3442678,0.3497,1,1,0.95,0.85,0.7
s30,RDD,gpt-4o,GPT-4o,0.227563,0.31995,0.406,1,1,0.95,0.85,0.8
s31,DID,gpt-4o,GPT-4o,-0.251343,-0.2513435,0.0,1,1,0.9,0.7,0.6
s32,DID,gpt-4o,GPT-4o,0.311092,0.311092399999992,0.0,1,1,0.9,0.75,0.7
s33,DID,gpt-4o,GPT-4o,-0.27914,0.8695268,4.115,1,0,0.9,0.75,0.6
s34,DID,gpt-4o,GPT-4o,0.153932,1.0,5.4964,1,0,0.95,0.85,0.75
s35,DID,gpt-4o,GPT-4o,-0.290525,,,1,0,0.95,0.85,0.7
s36,DID,gpt-4o,GPT-4o,0.207083,0.2070831,0.0,1,1,0.9,0.75,0.7
s37,DID,gpt-4o,GPT-4o,-0.180967,0.44924,3.4824,1,0,0.95,0.85,0.75
s38,DID,gpt-4o,GPT-4o,-0.161211,-0.161,0.0013,1,1,0.9,0.75,0.7
s39,DID,gpt-4o,GPT-4o,0.197254,0.1972537,0.0,1,1,0.85,0.65,0.6
s40,DID,gpt-4o,GPT-4o,0.412751,0.4127509,0.0,1,1,0.9,0.75,0.7
s41,DID,gpt-4o,GPT-4o,-0.08474,,,1,0,0.95,0.8,0.7
s42,DID,gpt-4o,GPT-4o,0.182152,0.182152,0.0,1,1,0.9,0.75,0.6
s43,DID,gpt-4o,GPT-4o,-0.188272,-0.188,0.0014,1,1,0.95,0.75,0.7
s44,DID,gpt-4o,GPT-4o,0.143254,0.42567,1.9714,1,0,0.9,0.85,0.7
s45,DID,gpt-4o,GPT-4o,-0.278644,-0.2786443,0.0,1,1,0.9,0.75,0.7
s46,DID,gpt-4o,GPT-4o,-0.178946,-0.428118,1.3924,1,0,0.9,0.75,0.7
s47,DID,gpt-4o,GPT-4o,-0.251963,1.0,4.9688,1,0,0.9,0.75,0.7
s48,DID,gpt-4o,GPT-4o,0.311359,0.39045,0.254,1,1,0.95,0.7,0.8
s49,DID,gpt-4o,GPT-4o,-0.030578,1.0,33.7033,1,0,0.9,0.8,0.75
s50,DID,gpt-4o,GPT-4o,0.406195,0.848954,1.09,1,0,0.9,0.75,0.6
s51,EVENT_STUDY,gpt-4o,GPT-4o,-0.019207,-1.0,51.0644,1,0,0.95,0.85,0.75
s52,EVENT_STUDY,gpt-4o,GPT-4o,0.025432,,,0,0,0.95,0.85,0.7
s53,EVENT_STUDY,gpt-4o,GPT-4o,-0.02978,,,0,0,0.95,0.85,0.75
s54,EVENT_STUDY,gpt-4o,GPT-4o,0.01811,,,1,0,0.95,0.85,0.75
s55,EVENT_STUDY,gpt-4o,GPT-4o,-0.027954,-0.0051,0.8176,1,0,0.95,0.85,0.7
s56,EVENT_STUDY,gpt-4o,GPT-4o,0.022125,,,0,0,0.95,0.7,0.6
s57,EVENT_STUDY,gpt-4o,GPT-4o,-0.015384,,,1,0,0.95,0.8,0.75
s58,EVENT_STUDY,gpt-4o,GPT-4o,-0.024748,1.0,41.4073,1,0,1.0,0.85,0.7
s59,EVENT_STUDY,gpt-4o,GPT-4o,0.029434,-1.0,34.9743,1,0,0.95,0.85,0.75
s60,EVENT_STUDY,gpt-4o,GPT-4o,-0.021024,,,1,0,0.95,0.8,0.7
