scenario_id,method_family,difficulty,origin,data_file_exists,n_rows,n_columns,dgp_effect,dgp_direction,gt_direction,canonical_status,canonical_estimated,canonical_sign_correct,hard_pass,issues,warnings
s51,EVENT_STUDY,easy,llm_templated,1,2100,5,-0.02,negative,negative,VERIFIED,-0.019207,1,1,,
s52,EVENT_STUDY,easy,llm_templated,1,2100,5,0.025,positive,positive,VERIFIED,0.025432,1,1,,
s53,EVENT_STUDY,easy,llm_templated,1,2100,5,-0.03,negative,negative,VERIFIED,-0.02978,1,1,,
s54,EVENT_STUDY,easy,llm_templated,1,2100,5,0.018,positive,positive,VERIFIED,0.01811,1,1,,
s55,EVENT_STUDY,easy,llm_templated,1,2100,5,-0.028,negative,negative,VERIFIED,-0.027954,1,1,,
s56,EVENT_STUDY,medium,llm_templated,1,1680,5,0.022,positive,positive,VERIFIED,0.022125,1,1,,
s57,EVENT_STUDY,medium,llm_templated,1,1680,5,-0.015,negative,negative,VERIFIED,-0.015384,1,1,,
s58,EVENT_STUDY,medium,llm_templated,1,1680,5,-0.025,negative,negative,VERIFIED,-0.024748,1,1,,
s59,EVENT_STUDY,medium,llm_templated,1,1680,5,0.03,positive,positive,VERIFIED,0.029434,1,1,,
s60,EVENT_STUDY,medium,llm_templated,1,1680,5,-0.02,negative,negative,VERIFIED,-0.021024,1,1,,
s61,EVENT_STUDY,medium,llm_templated,1,1680,5,0.018,positive,positive,VERIFIED,0.018012,1,1,,
s62,EVENT_STUDY,hard,llm_templated,1,1260,5,-0.018,negative,negative,VERIFIED,-0.017795,1,1,,
s63,EVENT_STUDY,hard,llm_templated,1,1260,5,0.015,positive,positive,VERIFIED,0.015153,1,1,,
s64,EVENT_STUDY,hard,llm_templated,1,1260,5,-0.022,negative,negative,VERIFIED,-0.023212,1,1,,
s65,EVENT_STUDY,hard,llm_templated,1,1260,5,0.028,positive,positive,VERIFIED,0.028048,1,1,,
s66,EVENT_STUDY,hard,llm_templated,1,1260,5,-0.012,negative,negative,VERIFIED,-0.01299,1,1,,
s67,IV,easy,llm_templated,1,500,4,0.4,positive,positive,FLAGGED,0.487238,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s68,IV,easy,llm_templated,1,500,4,-0.35,negative,negative,FLAGGED,-0.434746,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s69,IV,easy,llm_templated,1,500,4,0.3,positive,positive,FLAGGED,0.405397,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s70,IV,easy,llm_templated,1,500,4,-0.25,negative,negative,FLAGGED,-0.292427,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s71,IV,easy,llm_templated,1,500,4,0.45,positive,positive,FLAGGED,0.511746,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s72,IV,easy,llm_templated,1,500,4,-0.4,negative,negative,FLAGGED,-0.469252,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s73,IV,medium,llm_templated,1,400,4,0.35,positive,positive,FLAGGED,0.412201,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s74,IV,medium,llm_templated,1,400,4,-0.3,negative,negative,FLAGGED,-0.153897,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s75,IV,medium,llm_templated,1,400,4,0.25,positive,positive,FLAGGED,0.449853,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s76,IV,medium,llm_templated,1,400,4,-0.2,negative,negative,VERIFIED,-0.193643,1,1,,
s77,IV,medium,llm_templated,1,400,4,0.5,positive,positive,FLAGGED,0.637287,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s78,IV,medium,llm_templated,1,400,4,-0.45,negative,negative,FLAGGED,-0.314225,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s79,IV,hard,llm_templated,1,300,4,0.2,positive,positive,FLAGGED,0.229228,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s80,IV,hard,llm_templated,1,300,4,-0.15,negative,negative,FLAGGED,-0.302934,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s81,IV,hard,llm_templated,1,300,4,0.3,positive,positive,FLAGGED,0.387703,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s82,IV,hard,llm_templated,1,300,4,-0.25,negative,negative,FLAGGED,0.003635,0,1,,canonical_sign_differs_from_dgp;canonical_beta_hat_differs_from_beta_star_gt_10pct
s83,IV,hard,llm_templated,1,300,4,0.15,positive,positive,FLAGGED,0.212884,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s84,IV,hard,llm_templated,1,300,4,-0.35,negative,negative,FLAGGED,-0.189002,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s85,RDD,easy,llm_templated,1,600,4,0.25,positive,positive,VERIFIED,0.245421,1,1,,
s86,RDD,easy,llm_templated,1,600,4,0.2,positive,positive,VERIFIED,0.204599,1,1,,
s87,RDD,easy,llm_templated,1,600,4,0.3,positive,positive,VERIFIED,0.295137,1,1,,text_may_not_name_outcome_column
s88,RDD,easy,llm_templated,1,600,4,0.15,positive,positive,FLAGGED,0.127651,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s89,RDD,easy,llm_templated,1,600,4,0.22,positive,positive,VERIFIED,0.23643,1,1,,
s90,RDD,medium,llm_templated,1,500,4,0.25,positive,positive,FLAGGED,0.224653,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s91,RDD,medium,llm_templated,1,500,4,0.18,positive,positive,FLAGGED,0.146146,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s92,RDD,medium,llm_templated,1,500,4,0.3,positive,positive,VERIFIED,0.275003,1,1,,
s93,RDD,medium,llm_templated,1,500,4,0.2,positive,positive,FLAGGED,0.17718,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s94,RDD,medium,llm_templated,1,500,4,0.22,positive,positive,FLAGGED,0.264096,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s95,RDD,medium,llm_templated,1,500,4,0.28,positive,positive,FLAGGED,0.31655,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct;text_may_not_name_outcome_column
s96,RDD,hard,llm_templated,1,400,4,0.15,positive,positive,FLAGGED,0.191463,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s97,RDD,hard,llm_templated,1,400,4,0.18,positive,positive,FLAGGED,0.204837,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s98,RDD,hard,llm_templated,1,400,4,0.12,positive,positive,FLAGGED,0.05694,1,1,,canonical_beta_hat_differs_from_beta_star_gt_10pct
s99,RDD,hard,llm_templated,1,400,4,0.25,positive,positive,VERIFIED,0.243461,1,1,,
