paper_id,method,difficulty,Kimi-128k_L3a,Kimi-128k_L3b,Kimi-128k_detected,Claude-Sonnet_L3a,Claude-Sonnet_L3b,Claude-Sonnet_detected,GPT-4o_L3a,GPT-4o_L3b,GPT-4o_detected,o3_L3a,o3_L3b,o3_detected,Claude-Opus_L3a,Claude-Opus_L3b,Claude-Opus_detected,Gemini-2.5_L3a,Gemini-2.5_L3b,Gemini-2.5_detected
paper_14,DID,easy,1,0,DID,1,0,DID,1,1,DID,1,0,DID,1,1,DID,1,1,DID
paper_15,DID,medium,1,0,DID,0,0,RDD,1,1,DID,1,0,DID,0,0,RDD,1,0,DID
paper_16,DID,hard,0,1,IV,0,0,IV,0,1,IV,0,0,IV,0,0,IV,0,1,IV
paper_17,IV,easy,1,1,IV,1,0,IV,1,1,IV,1,1,IV,1,1,IV,1,0,IV
paper_18,IV,hard,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_19,RDD,easy,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_20,RDD,medium,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_21,IV,medium,1,0,RDD,1,0,IV,1,0,RDD,1,1,RDD,1,0,RDD,1,0,RDD
paper_22,DID,easy,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_23,DID,easy,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_24,DID,easy,1,1,DID,1,1,DID,1,0,DID,1,0,DID,0,0,IV,1,1,DID
paper_25,DID,medium,1,0,DID,1,0,DID,1,1,DID,1,1,DID,1,1,DID,1,0,DID
paper_26,DID,hard,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,0,RDD
paper_27,EVENT_STUDY,easy,0,1,DID,0,1,DID,1,1,EVENT_STUDY,0,0,DID,0,1,DID,0,1,DID
paper_28,EVENT_STUDY,easy,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_29,EVENT_STUDY,medium,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_30,EVENT_STUDY,hard,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_31,IV,easy,0,1,DID,0,0,DID,0,0,EVENT_STUDY,0,0,EVENT_STUDY,0,1,EVENT_STUDY,0,1,DID
paper_32,IV,medium,1,0,IV,1,1,IV,1,0,IV,1,1,IV,1,1,IV,1,0,IV
paper_33,RDD,easy,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,0,RDD,1,1,RDD
paper_34,RDD,easy,1,1,RDD,1,0,RDD,1,1,RDD,1,0,RDD,1,1,RDD,1,1,RDD
paper_35,RDD,medium,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_36,DID,easy,1,1,DID,0,1,RDD,0,1,RDD,0,0,RDD,0,1,EVENT_STUDY,0,1,RDD
paper_37,DID,medium,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_38,IV,medium,1,1,IV,1,1,IV,1,1,IV,0,1,RDD,1,1,IV,1,0,IV
paper_39,DID,hard,1,1,DID,0,0,IV,1,1,DID,0,1,EVENT_STUDY,0,1,IV,1,0,DID
paper_40,EVENT_STUDY,easy,0,1,DID,0,1,DID,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_41,EVENT_STUDY,medium,0,1,DID,1,1,EVENT_STUDY,1,0,EVENT_STUDY,0,0,DID,1,1,EVENT_STUDY,1,0,EVENT_STUDY
paper_42,DID,hard,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_43,IV,medium,1,1,IV,1,1,IV,1,1,IV,1,0,IV,1,1,IV,1,1,IV
paper_44,RDD,hard,1,0,RDD,1,0,RDD,1,0,RDD,1,1,RDD,1,0,RDD,1,1,RDD
paper_45,RDD,hard,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_46,RDD,easy,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_47,IV,hard,1,0,IV,1,0,IV,1,0,IV,0,0,,1,1,IV,1,0,IV
paper_48,IV,easy,1,1,IV,1,1,IV,1,1,IV,0,1,,1,1,IV,1,1,IV
paper_49,RDD,medium,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_50,DID,medium,1,1,DID,1,0,DID,1,1,DID,1,0,DID,1,0,DID,1,1,DID
paper_51,IV,hard,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_52,RDD,medium,0,1,DID,0,1,,0,1,DID,0,0,DID,1,1,RDD,0,1,DID
paper_53,EVENT_STUDY,hard,1,1,EVENT_STUDY,0,1,DID,1,1,EVENT_STUDY,0,1,DID,1,1,EVENT_STUDY,0,0,DID
paper_54,DID,easy,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_55,IV,hard,1,1,IV,1,0,IV,1,1,IV,1,0,IV,1,1,IV,1,1,IV
paper_56,DID,medium,1,0,DID,0,1,,1,1,DID,0,1,IV,0,1,IV,0,1,IV
paper_57,RDD,medium,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_58,DID,easy,1,1,DID,1,1,DID,1,1,DID,1,1,DID,0,1,IV,1,1,DID
paper_59,DID,medium,1,0,DID,1,1,DID,1,0,DID,1,1,DID,1,0,DID,0,0,EVENT_STUDY
paper_60,DID,hard,1,0,DID,1,0,DID,1,0,DID,1,1,DID,1,1,DID,0,1,
paper_61,DID,medium,1,1,DID,0,1,,1,1,DID,1,0,DID,0,1,EVENT_STUDY,1,0,DID
paper_62,EVENT_STUDY,easy,0,1,DID,1,1,EVENT_STUDY,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_63,EVENT_STUDY,medium,0,1,DID,0,1,DID,1,1,EVENT_STUDY,0,1,RDD,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_64,EVENT_STUDY,hard,0,0,DID,0,1,DID,1,0,EVENT_STUDY,0,1,DID,0,1,DID,1,1,EVENT_STUDY
paper_65,EVENT_STUDY,easy,0,1,DID,0,0,DID,1,1,EVENT_STUDY,0,1,DID,1,1,EVENT_STUDY,0,1,DID
paper_66,IV,medium,0,0,DID,1,0,IV,0,1,DID,0,0,DID,1,1,IV,0,0,DID
paper_67,IV,hard,0,1,DID,1,1,IV,1,1,IV,0,1,DID,1,1,IV,1,1,IV
paper_68,IV,medium,0,1,DID,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_69,RDD,easy,1,1,RDD,1,0,RDD,1,0,RDD,1,1,RDD,1,0,RDD,1,0,RDD
paper_70,RDD,medium,1,1,RDD,1,0,RDD,1,0,RDD,1,1,RDD,1,0,RDD,1,0,RDD
paper_71,RDD,hard,1,1,RDD,1,0,RDD,1,0,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_72,DID,easy,1,0,DID,1,0,DID,1,0,DID,1,1,DID,1,1,DID,1,1,DID
paper_73,DID,medium,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_74,DID,hard,1,1,DID,1,0,DID,1,1,DID,0,1,IV,0,0,EVENT_STUDY,1,1,DID
paper_75,DID,medium,1,0,DID,1,1,DID,1,0,DID,1,0,DID,1,0,DID,1,0,DID
paper_76,EVENT_STUDY,easy,0,1,DID,1,1,EVENT_STUDY,0,1,DID,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_77,EVENT_STUDY,medium,0,1,DID,0,1,DID,0,1,DID,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_78,EVENT_STUDY,hard,0,1,DID,0,1,DID,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_79,IV,easy,0,0,RDD,1,0,IV,1,0,IV,0,0,RDD,1,0,IV,1,0,IV
paper_80,IV,medium,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_81,IV,hard,0,1,DID,1,1,IV,0,1,DID,1,1,IV,1,1,IV,1,1,IV
paper_82,IV,medium,0,0,DID,0,0,DID,0,0,DID,0,0,DID,1,0,IV,0,1,DID
paper_83,RDD,easy,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD
paper_84,RDD,medium,1,1,RDD,1,1,RDD,1,1,RDD,1,0,RDD,1,1,RDD,1,1,RDD
paper_85,RDD,hard,1,1,RDD,1,1,RDD,1,1,RDD,1,0,RDD,1,1,RDD,1,1,RDD
paper_86,RDD,easy,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_87,DID,easy,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_88,DID,medium,1,1,DID,1,0,DID,1,0,DID,1,0,DID,0,0,IV,1,1,DID
paper_89,DID,hard,1,1,DID,1,1,DID,1,1,DID,1,0,DID,0,1,IV,1,1,DID
paper_90,EVENT_STUDY,easy,0,1,RDD,0,1,IV,0,1,IV,0,1,IV,0,1,IV,0,1,
paper_91,EVENT_STUDY,medium,0,0,DID,0,1,DID,0,1,DID,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_92,IV,easy,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_93,IV,medium,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_94,IV,hard,0,1,DID,0,1,DID,0,1,DID,0,1,EVENT_STUDY,0,1,RDD,0,1,DID
paper_95,RDD,easy,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_96,RDD,medium,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD
paper_97,RDD,hard,1,1,RDD,1,1,RDD,1,0,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_98,DID,easy,1,0,DID,1,0,DID,1,0,DID,1,0,DID,1,1,DID,1,1,DID
paper_99,DID,medium,1,1,DID,1,1,DID,1,1,DID,1,0,DID,0,1,RDD,1,1,DID
paper_100,DID,hard,1,1,DID,1,1,DID,1,0,DID,1,0,DID,0,0,EVENT_STUDY,0,1,EVENT_STUDY
paper_101,EVENT_STUDY,easy,0,0,DID,0,0,DID,0,0,DID,0,0,DID,0,0,DID,0,0,DID
paper_102,EVENT_STUDY,medium,0,0,DID,0,1,DID,0,1,DID,1,0,EVENT_STUDY,0,1,DID,0,0,DID
paper_103,IV,easy,1,0,IV,1,1,IV,1,0,IV,1,1,IV,1,1,IV,1,1,IV
paper_104,IV,medium,0,0,DID,0,0,DID,0,0,DID,0,0,DID,0,0,DID,0,0,DID
paper_105,IV,hard,0,0,DID,1,1,IV,1,0,IV,1,0,IV,1,1,IV,1,1,IV
paper_106,RDD,easy,1,0,RDD,1,0,RDD,1,1,RDD,1,1,RDD,1,0,RDD,1,0,RDD
paper_107,RDD,medium,1,0,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_108,RDD,hard,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_109,DID,easy,1,0,DID,0,0,IV,1,0,DID,1,0,DID,0,0,IV,1,0,DID
paper_110,DID,medium,1,1,DID,1,1,DID,1,1,DID,1,1,DID,0,1,IV,1,1,DID
paper_111,DID,hard,1,0,DID,1,0,DID,1,0,DID,1,0,DID,1,0,DID,1,0,DID
paper_112,EVENT_STUDY,medium,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_113,IV,easy,1,1,IV,0,1,RDD,0,1,RDD,0,1,RDD,0,1,RDD,0,1,RDD
paper_114,IV,medium,1,0,IV,1,0,IV,1,0,IV,1,0,IV,0,0,RDD,0,0,RDD
paper_115,IV,hard,0,1,DID,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_116,RDD,easy,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD
paper_117,RDD,medium,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_118,DID,easy,1,1,DID,1,0,DID,1,0,DID,1,1,DID,1,1,DID,0,0,EVENT_STUDY
paper_119,DID,medium,0,1,RDD,0,1,IV,0,1,IV,1,1,DID,0,1,IV,1,0,DID
paper_120,DID,hard,1,1,DID,1,1,DID,1,1,DID,0,1,EVENT_STUDY,1,1,DID,1,1,DID
paper_121,EVENT_STUDY,easy,0,0,DID,1,0,EVENT_STUDY,0,0,DID,0,0,DID,1,0,EVENT_STUDY,0,0,DID
paper_122,EVENT_STUDY,medium,0,1,DID,0,1,DID,0,1,DID,1,1,EVENT_STUDY,0,1,DID,1,1,EVENT_STUDY
paper_123,IV,medium,0,0,DID,1,0,IV,1,1,IV,0,0,EVENT_STUDY,1,1,IV,1,0,IV
paper_124,IV,hard,0,1,DID,0,1,DID,0,1,DID,1,1,IV,0,1,DID,0,1,DID
paper_125,RDD,easy,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_126,RDD,medium,1,0,RDD,1,1,RDD,0,1,IV,0,1,IV,0,1,IV,1,1,RDD
paper_127,RDD,hard,1,1,RDD,0,1,DID,0,1,DID,0,1,DID,0,1,DID,1,1,RDD
paper_128,DID,easy,1,1,DID,1,1,DID,1,1,DID,0,1,EVENT_STUDY,1,1,DID,1,0,DID
paper_129,DID,medium,1,0,DID,1,0,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_130,DID,hard,1,0,DID,1,0,DID,1,0,DID,1,1,DID,1,1,DID,1,0,DID
paper_131,EVENT_STUDY,easy,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_132,EVENT_STUDY,medium,0,0,DID,0,0,DID,0,0,DID,1,0,EVENT_STUDY,0,1,DID,0,1,DID
paper_133,IV,easy,0,1,DID,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_134,IV,medium,0,1,DID,0,1,DID,0,1,DID,0,1,DID,1,1,IV,0,0,DID
paper_135,IV,hard,0,0,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_136,RDD,medium,1,0,RDD,1,1,RDD,1,1,RDD,0,0,DID,1,1,RDD,0,1,DID
paper_137,RDD,hard,1,1,RDD,1,0,RDD,1,1,RDD,1,0,RDD,1,1,RDD,1,0,RDD
paper_138,DID,medium,1,1,DID,0,0,IV,0,1,,1,1,DID,0,0,,0,0,
paper_139,DID,easy,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_140,EVENT_STUDY,hard,0,1,DID,1,1,EVENT_STUDY,1,1,EVENT_STUDY,0,1,IV,0,0,IV,1,1,EVENT_STUDY
paper_141,EVENT_STUDY,medium,0,1,DID,0,1,IV,0,1,IV,0,1,DID,0,0,IV,0,1,DID
paper_142,EVENT_STUDY,medium,0,0,DID,0,0,IV,0,1,DID,0,1,IV,0,0,IV,0,0,IV
paper_143,IV,medium,0,0,DID,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_144,IV,easy,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_145,IV,medium,0,0,DID,0,0,DID,0,0,DID,0,0,DID,1,0,IV,0,0,DID
paper_146,IV,hard,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_147,RDD,medium,0,1,DID,0,1,,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_148,DID,medium,1,1,DID,1,1,DID,0,1,RDD,0,0,EVENT_STUDY,1,1,DID,1,1,DID
paper_149,EVENT_STUDY,medium,0,1,DID,0,1,IV,0,1,DID,0,1,RDD,0,1,IV,0,1,DID
paper_150,EVENT_STUDY,medium,0,0,DID,0,0,IV,0,0,DID,1,0,EVENT_STUDY,0,1,IV,0,0,IV
paper_151,IV,medium,0,1,DID,1,1,IV,1,1,IV,0,1,DID,0,1,DID,1,1,IV
paper_152,IV,easy,0,1,RDD,1,1,IV,0,1,RDD,0,1,RDD,1,1,IV,1,1,IV
paper_153,RDD,medium,0,1,DID,0,0,IV,0,0,IV,0,1,IV,0,1,IV,0,1,EVENT_STUDY
paper_154,RDD,medium,1,1,RDD,1,1,RDD,0,1,DID,0,1,DID,1,1,RDD,1,1,RDD
paper_155,DID,medium,1,1,DID,0,1,IV,0,1,IV,0,1,IV,0,1,IV,1,1,DID
paper_156,DID,hard,1,1,DID,1,1,DID,1,1,DID,1,1,DID,0,1,IV,0,1,IV
paper_157,EVENT_STUDY,medium,0,1,DID,0,1,DID,0,1,IV,0,1,DID,0,1,DID,0,1,DID
paper_158,EVENT_STUDY,hard,0,1,RDD,0,1,IV,0,1,IV,0,0,RDD,0,1,RDD,0,0,IV
paper_159,EVENT_STUDY,hard,0,1,DID,0,1,DID,0,1,DID,0,1,DID,1,1,EVENT_STUDY,0,1,RDD
paper_160,IV,hard,0,1,DID,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_161,RDD,medium,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_162,RDD,hard,1,1,RDD,1,1,RDD,1,1,RDD,0,1,DID,1,1,RDD,1,1,RDD
paper_163,RDD,hard,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_164,DID,easy,1,1,DID,1,0,DID,1,1,DID,1,1,DID,1,1,DID,0,1,EVENT_STUDY
paper_165,DID,medium,0,1,EVENT_STUDY,1,1,DID,0,0,EVENT_STUDY,0,1,EVENT_STUDY,1,1,DID,1,1,DID
paper_166,DID,medium,1,1,DID,1,1,DID,1,1,DID,1,1,DID,0,0,EVENT_STUDY,1,1,DID
paper_167,DID,hard,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,0,DID,1,0,DID
paper_168,EVENT_STUDY,hard,0,1,DID,1,1,EVENT_STUDY,0,1,DID,0,0,DID,0,1,IV,1,1,EVENT_STUDY
paper_169,IV,easy,0,0,DID,0,1,DID,0,1,DID,0,1,EVENT_STUDY,1,1,IV,0,1,DID
paper_170,IV,hard,0,0,DID,0,0,DID,0,0,DID,0,0,DID,0,1,DID,0,0,DID
paper_171,IV,medium,0,1,DID,1,0,IV,1,1,IV,1,1,IV,1,0,IV,0,0,DID
paper_172,IV,hard,0,1,DID,0,1,EVENT_STUDY,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_173,RDD,easy,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_174,DID,easy,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_175,DID,medium,1,1,DID,1,1,DID,1,0,DID,1,1,DID,1,1,DID,1,1,DID
paper_176,EVENT_STUDY,easy,0,0,RDD,0,1,,0,1,RDD,0,1,RDD,0,1,,0,1,RDD
paper_177,EVENT_STUDY,easy,0,0,DID,1,1,EVENT_STUDY,1,0,EVENT_STUDY,1,0,EVENT_STUDY,1,1,EVENT_STUDY,1,0,EVENT_STUDY
paper_178,EVENT_STUDY,medium,1,0,EVENT_STUDY,1,0,EVENT_STUDY,1,0,EVENT_STUDY,0,1,DID,1,1,EVENT_STUDY,1,0,EVENT_STUDY
paper_179,EVENT_STUDY,medium,0,1,DID,0,1,IV,0,1,DID,0,1,IV,0,1,IV,0,0,DID
paper_180,EVENT_STUDY,hard,0,1,DID,0,0,,0,1,DID,0,0,DID,0,0,DID,0,0,
paper_181,IV,easy,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_182,IV,medium,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_183,IV,hard,0,1,DID,1,1,IV,0,1,DID,1,1,IV,1,1,IV,0,1,DID
paper_184,RDD,medium,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_185,RDD,medium,0,0,DID,0,1,DID,0,0,DID,0,0,DID,0,0,DID,0,0,DID
paper_186,DID,medium,1,1,DID,1,1,DID,1,1,DID,0,1,EVENT_STUDY,1,1,DID,1,1,DID
paper_187,DID,medium,1,1,DID,1,1,DID,1,1,DID,0,0,IV,0,1,IV,1,1,DID
paper_188,DID,medium,1,1,DID,0,1,IV,0,1,IV,0,1,IV,0,1,IV,0,0,IV
paper_189,EVENT_STUDY,hard,0,0,DID,0,0,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_190,EVENT_STUDY,medium,0,1,RDD,0,0,RDD,0,0,RDD,0,0,RDD,0,0,RDD,0,1,RDD
paper_191,EVENT_STUDY,medium,0,0,DID,0,0,IV,0,0,DID,1,1,EVENT_STUDY,0,0,IV,0,0,DID
paper_192,IV,easy,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_193,IV,hard,0,1,DID,1,0,IV,0,0,DID,0,1,DID,1,0,IV,1,0,IV
paper_194,IV,medium,0,0,DID,1,0,IV,1,0,IV,0,1,EVENT_STUDY,1,0,IV,1,0,IV
paper_195,RDD,hard,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD,1,1,RDD
paper_196,DID,easy,1,0,DID,1,0,DID,1,0,DID,1,0,DID,0,0,EVENT_STUDY,1,0,DID
paper_197,DID,medium,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID
paper_198,DID,medium,1,0,DID,0,0,RDD,1,0,DID,1,0,DID,1,0,DID,1,0,DID
paper_199,EVENT_STUDY,easy,0,0,DID,0,0,DID,0,0,DID,1,0,EVENT_STUDY,0,0,DID,0,0,DID
paper_200,EVENT_STUDY,hard,0,1,DID,0,1,IV,0,1,DID,0,1,IV,0,0,IV,0,0,IV
paper_201,IV,hard,1,0,IV,1,0,IV,1,0,IV,1,0,IV,1,0,IV,1,0,IV
paper_202,IV,medium,0,0,DID,0,1,DID,0,0,DID,0,1,DID,0,1,EVENT_STUDY,0,1,EVENT_STUDY
paper_203,RDD,hard,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,0,RDD
paper_204,DID,medium,1,0,DID,0,0,RDD,1,0,DID,1,0,DID,1,0,DID,0,0,EVENT_STUDY
paper_205,EVENT_STUDY,easy,0,0,DID,0,0,DID,0,1,DID,0,1,DID,0,0,DID,0,0,DID
paper_206,EVENT_STUDY,hard,0,0,DID,0,1,IV,1,1,EVENT_STUDY,1,1,EVENT_STUDY,0,1,IV,1,1,EVENT_STUDY
paper_207,EVENT_STUDY,medium,0,1,DID,0,1,DID,0,1,DID,0,1,IV,0,1,DID,0,1,DID
paper_208,RDD,medium,1,1,RDD,1,0,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_209,RDD,medium,0,0,DID,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD,1,0,RDD
paper_210,RDD,hard,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_211,DID,easy,1,1,DID,1,1,DID,1,1,DID,0,1,EVENT_STUDY,1,1,DID,1,1,DID
paper_212,EVENT_STUDY,hard,0,0,DID,0,0,DID,0,0,DID,0,0,DID,0,1,DID,0,0,DID
paper_213,EVENT_STUDY,hard,0,1,DID,0,1,DID,0,1,DID,1,0,EVENT_STUDY,0,1,DID,0,1,DID
paper_214,EVENT_STUDY,easy,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_215,IV,medium,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_216,IV,hard,1,1,IV,1,1,IV,0,1,DID,0,1,DID,1,1,IV,0,1,DID
paper_217,RDD,hard,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_218,DID,medium,1,1,DID,1,0,DID,1,0,DID,1,0,DID,0,0,RDD,1,0,DID
paper_219,DID,medium,1,1,DID,1,1,DID,1,1,DID,1,0,DID,0,1,IV,1,1,DID
paper_220,EVENT_STUDY,medium,0,1,DID,0,0,DID,0,0,DID,0,0,DID,0,0,IV,1,0,EVENT_STUDY
paper_221,EVENT_STUDY,medium,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,0,DID,1,1,EVENT_STUDY
paper_222,EVENT_STUDY,hard,0,0,DID,0,1,DID,0,1,DID,0,1,DID,0,0,RDD,1,0,EVENT_STUDY
paper_223,IV,easy,0,1,DID,1,1,IV,1,1,IV,0,1,EVENT_STUDY,1,1,IV,1,1,IV
paper_224,IV,medium,1,0,IV,1,1,IV,1,0,IV,0,1,DID,1,1,IV,0,0,DID
paper_225,RDD,medium,0,1,DID,1,1,RDD,1,1,RDD,0,1,DID,1,1,RDD,0,1,DID
