domain,method,difficulty,direction,authors,year,journal,title
finance,ES,easy,positive,Fama & French,1993,JF,Common Risk Factors in the Returns on Stocks and Bonds
finance,ES,easy,positive,MacKinlay,1997,JF,Event Studies in Economics and Finance
finance,ES,medium,positive,"Campbell, Lo & MacKinlay",1997,JF,The Econometrics of Financial Markets
finance,ES,medium,positive,Gompers & Lerner,1999,JFE,The Venture Capital Cycle
finance,ES,hard,positive,Baker & Wurgler,2006,JF,Investor Sentiment and the Cross-Section of Stock Returns
finance,IV,easy,positive,Rajan & Zingales,1998,AER,Financial Dependence and Growth
finance,IV,medium,positive,"Beck, Levine & Loayza",2000,JFE,Finance and the Sources of Growth
finance,IV,hard,positive,Gabaix & Landier,2008,QJE,Why Has CEO Pay Increased So Much?
finance,RDD,medium,positive,"Dougal, Engelberg, Parsons & Van Wesep",2015,JFE,Anchoring on Credit Spreads
finance,RDD,medium,negative,Gormley & Matsa,2011,JFE,Growing Out of Trouble? Corporate Responses to Liability Risk
health,DID,medium,positive,Gruber & Poterba,1994,JHR,Tax Incentives and the Decision to Purchase Health Insurance: Evidence from the Self-Employed
health,DID,medium,positive,Currie & Gruber,1996,JHR,"Health Insurance Eligibility, Utilization of Medical Care, and Child Health"
health,DID,medium,positive,Cutler & Lleras-Muney,2006,JHE,Education and Health: Evaluating Theories and Evidence
health,ES,hard,negative,"Miller, Johnson & Wherry",2021,AEJ:Applied,Medicaid and Mortality: New Evidence from Linked Survey and Administrative Data
health,ES,medium,positive,"Anderson, Dobkin & Gross",2012,AER,The Effect of Health Insurance Coverage on the Use of Medical Services
health,ES,medium,negative,Baicker & Chandra,2004,JPublE,"Medicare Spending, The Physician Workforce, and Beneficiaries’ Quality of Care"
health,IV,easy,positive,Card,1999,QJE,The Causal Effect of Education on Earnings
health,IV,hard,negative,Chay & Greenstone,2003,QJE,The Impact of Air Pollution on Infant Mortality: Evidence from Geographic Variation in Pollution Shocks Induced by a Recession
health,IV,medium,negative,Baicker & Chandra,2004,JHR,"Medicare Spending, the Physician Workforce, and Beneficiaries' Quality of Care"
health,RDD,hard,negative,"Chay, McEwan & Urquiola",2005,JHR,The Central Role of Noise in Evaluating Interventions That Use Test Scores to Rank Schools
labor,DID,easy,neutral,Card,1990,ILRR,The Impact of the Mariel Boatlift on the Miami Labor Market
labor,DID,medium,positive,Angrist & Krueger,1999,ILRR,Empirical Strategies in Labor Economics
labor,DID,medium,neutral,"Dube, Lester & Reich",2010,REStat,Minimum Wage Effects Across State Borders: Estimates Using Contiguous Counties
labor,ES,easy,neutral,Katz & Krueger,1992,ILR,The Effect of the Minimum Wage on the Fast-Food Industry
labor,ES,hard,negative,Borjas,2003,QJE,The Labor Demand Curve is Downward Sloping: Reexamining the Impact of Immigration on the Labor Market
labor,IV,hard,neutral,Imbens & Angrist,1994,Econometrica,Identification and Estimation of Local Average Treatment Effects
labor,IV,medium,negative,Acemoglu & Angrist,2001,JPE,Consequences of Employment Protection? The Case of the Americans with Disabilities Act
labor,RDD,hard,positive,"Hahn, Todd & Van der Klaauw",2001,Econometrica,Identification and Estimation of Treatment Effects with a Regression Discontinuity Design
public,DID,medium,negative,Besley & Case,1995,JPE,Does Electoral Accountability Affect Economic Policy Choices? Evidence from Gubernatorial Term Limits
public,ES,easy,negative,Finkelstein,2007,QJE,E-ZTax: Tax Salience and Tax Rates
public,ES,hard,positive,Auerbach & Gorodnichenko,2012,AER,Measuring the Output Responses to Fiscal Policy
public,ES,medium,positive,Gordon & Li,2009,JPublE,Tax Structures in Developing Countries: Many Puzzles and a Possible Explanation
public,RDD,medium,positive,Ferreira & Gyourko,2009,QJE,Do Political Parties Matter? Evidence from U.S. Cities
public,RDD,medium,negative,Eggers & Hainmueller,2009,AER,MPs for Sale? Returns to Office in Postwar British Politics
public,RDD,hard,positive,Caughey & Sekhon,2011,AER,"Elections and the Regression Discontinuity Design: Lessons from Close U.S. House Races, 1942–2008"
trade,DID,easy,positive,Trefler,2004,AER,The Long and Short of the Canada-U.S. Free Trade Agreement
trade,ES,hard,negative,"Fajgelbaum, Goldberg, Kennedy & Khandelwal",2020,QJE,The Return to Protectionism
trade,ES,hard,positive,Handley & Limão,2017,AER,"Policy Uncertainty, Trade, and Welfare: Theory and Evidence for China and the United States"
trade,ES,easy,positive,Harrison & Rodríguez-Clare,2010,JEL,"Trade, Foreign Investment, and Industrial Policy for Developing Countries"
trade,IV,medium,positive,"Rodrik, Subramanian & Trebbi",2004,JPE,Institutions Rule: The Primacy of Institutions over Geography and Integration in Economic Development
trade,IV,hard,positive,Nunn,2007,QJE,"Relationship-Specificity, Incomplete Contracts, and the Pattern of Trade"
trade,RDD,hard,positive,"Calonico, Cattaneo & Titiunik",2014,Econometrica,Robust Nonparametric Confidence Intervals for Regression-Discontinuity Designs
urban,DID,medium,negative,Greenstone & Gallagher,2008,QJE,Does Hazardous Waste Matter? Evidence from the Housing Market and the Superfund Program
urban,DID,medium,positive,Baum-Snow,2007,QJE,Did Highways Cause Suburbanization?
urban,ES,medium,negative,Cheshire & Sheppard,2002,JUE,The Welfare Economics of Land Use Planning
urban,ES,medium,positive,Billings,2011,REStat,Estimating the Value of a New Transit Option
urban,ES,hard,positive,Hornbeck & Keniston,2017,QJE,Creative Destruction: Barriers to Urban Growth and the Great Boston Fire of 1872
urban,IV,easy,positive,Duranton & Turner,2011,AER,The Fundamental Law of Road Congestion: Evidence from US Cities
urban,IV,medium,positive,Saiz,2010,QJE,The Geographic Determinants of Housing Supply
urban,RDD,medium,positive,Fack & Grenet,2010,JUE,When Do Better Schools Raise Housing Prices? Evidence from Paris Public and Private Schools
urban,RDD,medium,positive,"Kane, Riegg & Staiger",2006,REStat,"School Quality, Neighborhoods, and Housing Prices: The Impacts of School Desegregation"
finance,DID,medium,positive,Campello & Graham,2012,JF,Do Stock Prices Influence Corporate Decisions? Evidence from the Technology Bubble
health,DID,hard,negative,"Baicker, Finkelstein & Song",2013,QJE,The Impact of Medicaid on Labor Market Activity and Program Participation: Evidence from the Oregon Health Insurance Experiment
public,DID,medium,positive,"Chetty, Looney & Kroft",2009,AER,Salience and Taxation: Theory and Evidence
public,DID,medium,positive,"Meyer, Viscusi & Durbin",1995,AER,Workers' Compensation and Injury Duration: Evidence from a Natural Experiment
trade,DID,medium,negative,McLaren & Hakobyan,2016,REStat,NAFTA and the Local Labor Market
trade,DID,hard,positive,Faber,2014,JIE,"Trade Integration, Market Size, and Industrialization: Evidence from China's National Trunk Highway System"
finance,ES,medium,negative,Campbell & Shiller,1998,Journal of Finance,Valuation Ratios and the Long-Run Stock Market Outlook
finance,ES,medium,negative,Loughran & Ritter,1995,Journal of Finance,The New Issues Puzzle
labor,ES,medium,negative,Neumark & Wascher,2000,JHR,Minimum Wages and Employment: A Case Study of the Fast-Food Industry in New Jersey and Pennsylvania: Comment
development,ES,medium,positive,Banerjee & Duflo,2014,QJE,Do Firms Want to Borrow More? Testing Credit Constraints Using a Directed Lending Program
development,ES,hard,positive,Acemoglu & Robinson,2001,AER,Colonial Origins of Comparative Development: An Empirical Investigation
health,ES,hard,negative,Anderson & Meyer,2000,JPubE,"The Effects of the Unemployment Insurance Payroll Tax on Wages, Employment, Claims and Denials"
education,ES,medium,positive,Jackson & Mackevicius,2021,AEJ: Applied Economics,The Distribution of School Spending Impacts
public,ES,medium,negative,Goolsbee & Syverson,2008,QJE,How Do Incumbents Respond to the Threat of Entry? Evidence from the Major Airlines
agriculture,ES,medium,positive,Burke & Emerick,2016,JPE,Adaptation to Climate Change: Evidence from US Agriculture
finance,IV,medium,positive,Bertrand & Schoar,2003,QJE,Managing with Style: The Effect of Managers on Firm Policies
labor,IV,medium,positive,Bound & Turner,2002,Journal of Labor Economics,Going to War and Going to College: Did World War II and the G.I. Bill Increase Educational Attainment for Returning Veterans?
development,IV,medium,positive,Acemoglu & Johnson,2007,Journal of Political Economy,Disease and Development: The Effect of Life Expectancy on Economic Growth
health,IV,hard,negative,"Chay, Dobkin & Greenstone",2003,JPE,The Clean Air Act of 1970 and Adult Mortality
education,IV,medium,positive,Kane & Staiger,2008,JHR,Estimating Teacher Impacts on Student Achievement: An Experimental Evaluation
education,IV,medium,positive,Lavy,2002,QJE,Evaluating the Effect of Teachers' Group Performance Incentives on Pupil Achievement
public,IV,medium,positive,Gruber & Saez,2002,JPublE,The Elasticity of Taxable Income: Evidence and Implications
public,IV,hard,positive,Acemoglu & Angrist,2000,JPE,How Large Are Human-Capital Externalities? Evidence from Compulsory-Schooling Laws
public,IV,medium,negative,Imbens & van der Klaauw,1995,REStat,Evaluating the Cost of Conscription in the Netherlands
trade,IV,medium,positive,Amiti & Konings,2007,AER,"Trade Liberalization, Intermediate Inputs, and Productivity: Evidence from Indonesia"
urban,IV,medium,positive,"Glaeser, Gyourko & Saks",2005,JUE,Why is Manhattan So Expensive? Regulation and the Rise in Housing Prices
finance,RDD,hard,positive,Heider & Ljungqvist,2015,Journal of Finance,As certain as debt and taxes: Estimating the tax sensitivity of leverage from state tax changes
labor,RDD,medium,negative,DiNardo & Lee,2004,Journal of Public Economics,Economic Impacts of New Unionization on Private Sector Employers: 1984–2001
labor,RDD,hard,positive,"Hahn, Todd & Van der Klaauw",2001,Econometrica,Identification and Estimation of Treatment Effects with a Regression-Discontinuity Design
health,RDD,medium,positive,"Card, Dobkin & Maestas",2009,AER,Does Medicare Save Lives?
health,RDD,medium,negative,Anderson,2014,AER,"Subways, Strikes, and Slowdowns: The Impacts of Public Transit on Traffic Congestion"
education,RDD,medium,positive,Jackson,2010,JHR,Do Students Benefit from Attending Better Schools? Evidence from Rule-based Student Assignments in Trinidad and Tobago
education,RDD,medium,positive,Dobbie & Fryer,2013,AER,Getting Beneath the Veil of Effective Schools: Evidence from New York City
education,RDD,medium,positive,Deming,2011,AER,"Better Schools, Less Crime?"
environment,RDD,medium,positive,Deschênes & Greenstone,2011,AER,"Climate Change, Mortality, and Adaptation: Evidence from Annual Fluctuations in Weather in the US"
environment,RDD,medium,negative,Grainger & Kolstad,2010,JEEM,Who Pays a Price on Carbon?
