paper_id,full_4_method,full_4_direction,loo_drop_opus_4_7_method,loo_drop_opus_4_7_direction,loo_drop_gpt4o_method,loo_drop_gpt4o_direction,loo_drop_kimi_method,loo_drop_kimi_direction,loo_drop_gemini_method,loo_drop_gemini_direction,method_flips,direction_flips
paper_20,RDD,positive,RDD,positive,RDD,positive,RDD,positive,RDD,positive,0,0
paper_21,,positive,RDD,,RDD,positive,IV,,IV,positive,1,0
paper_22,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_23,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_24,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_25,DID,negative,DID,negative,DID,negative,DID,negative,DID,negative,0,0
paper_26,RDD,,RDD,unclear,RDD,unclear,RDD,negative,RDD,negative,0,1
paper_27,,positive,DID,positive,DID,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,1,0
paper_28,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,0,0
paper_29,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,0,0
paper_30,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,0,0
paper_31,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,0,0
paper_32,IV,,IV,unclear,IV,unclear,IV,negative,IV,negative,0,1
paper_33,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_34,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_35,RDD,positive,RDD,positive,RDD,positive,RDD,positive,RDD,positive,0,0
paper_36,OTHER,negative,OTHER,negative,OTHER,negative,OTHER,negative,OTHER,negative,0,0
paper_37,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_38,IV,negative,IV,negative,IV,negative,IV,negative,IV,negative,0,0
paper_39,DID,,DID,negative,DID,mixed,DID,negative,DID,mixed,0,1
paper_40,DID,negative,DID,negative,DID,negative,DID,negative,DID,negative,0,0
paper_41,,positive,EVENT_STUDY,positive,DID,positive,DID,positive,EVENT_STUDY,positive,1,0
paper_42,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_43,IV,positive,IV,positive,IV,positive,IV,positive,IV,positive,0,0
paper_44,RDD,unclear,RDD,unclear,RDD,unclear,RDD,,RDD,,0,0
paper_45,RDD,negative,RDD,negative,RDD,negative,RDD,negative,RDD,negative,0,0
paper_46,RDD,positive,RDD,positive,RDD,positive,RDD,positive,RDD,positive,0,0
paper_47,IV,unclear,IV,unclear,IV,unclear,IV,,IV,,0,0
paper_48,IV,positive,IV,positive,IV,positive,IV,positive,IV,positive,0,0
paper_49,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_50,DID,positive,DID,,DID,,DID,positive,DID,positive,0,0
paper_51,IV,,IV,unclear,IV,unclear,IV,positive,IV,positive,0,1
paper_52,DID,negative,DID,negative,DID,negative,DID,negative,DID,negative,0,0
paper_53,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,EVENT_STUDY,positive,0,0
paper_54,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_55,IV,,IV,unclear,IV,unclear,IV,negative,IV,negative,0,1
paper_56,DID,,DID,unclear,,unclear,DID,positive,,positive,0,1
paper_57,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_58,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_59,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_60,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_61,OTHER,negative,OTHER,negative,OTHER,,OTHER,negative,OTHER,,0,0
paper_62,EVENT_STUDY,,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,positive,EVENT_STUDY,positive,0,1
paper_63,EVENT_STUDY,,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,positive,EVENT_STUDY,positive,0,1
paper_64,EVENT_STUDY,unclear,EVENT_STUDY,unclear,,unclear,,unclear,EVENT_STUDY,unclear,0,0
paper_65,,,EVENT_STUDY,unclear,DID,unclear,DID,negative,EVENT_STUDY,negative,1,1
paper_66,DID,unclear,DID,unclear,DID,unclear,,,,,0,0
paper_67,IV,,IV,unclear,IV,unclear,IV,positive,IV,positive,0,1
paper_68,IV,,,unclear,,unclear,IV,positive,IV,positive,0,1
paper_69,RDD,,RDD,unclear,RDD,unclear,RDD,negative,RDD,negative,0,1
paper_70,RDD,,RDD,unclear,RDD,unclear,RDD,negative,RDD,negative,0,1
paper_71,RDD,,RDD,unclear,RDD,unclear,RDD,negative,RDD,negative,0,1
paper_72,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_73,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_74,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_75,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_76,DID,negative,DID,negative,DID,negative,DID,negative,DID,negative,0,0
paper_77,,,DID,unclear,DID,unclear,EVENT_STUDY,negative,EVENT_STUDY,negative,1,1
paper_78,EVENT_STUDY,positive,,,,,EVENT_STUDY,positive,EVENT_STUDY,positive,0,0
paper_79,IV,unclear,IV,unclear,IV,unclear,IV,,IV,,0,0
paper_80,IV,,IV,unclear,IV,unclear,IV,positive,IV,positive,0,1
paper_81,IV,,IV,unclear,IV,unclear,IV,positive,IV,positive,0,1
paper_82,DID,,DID,negative,DID,unclear,DID,negative,DID,unclear,0,1
paper_83,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,0,0
paper_84,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_85,RDD,,RDD,unclear,RDD,unclear,RDD,negative,RDD,negative,0,1
paper_86,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_87,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_88,DID,,DID,,,,,,DID,,0,-1
paper_89,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_90,OTHER,negative,,negative,OTHER,negative,,negative,OTHER,negative,0,0
paper_91,,,DID,unclear,DID,unclear,EVENT_STUDY,negative,EVENT_STUDY,negative,1,1
paper_92,IV,,IV,unclear,IV,unclear,IV,positive,IV,positive,0,1
paper_93,,,DID,unclear,DID,unclear,IV,negative,IV,negative,1,1
paper_94,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_95,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_96,RDD,unclear,RDD,unclear,RDD,unclear,RDD,,RDD,,0,0
paper_97,RDD,positive,RDD,,RDD,,RDD,positive,RDD,positive,0,0
paper_98,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_99,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_100,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_101,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_102,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_103,IV,,IV,unclear,IV,unclear,IV,positive,IV,positive,0,1
paper_104,DID,positive,DID,,DID,positive,DID,,DID,positive,0,0
paper_105,,unclear,DID,unclear,DID,unclear,IV,,IV,,1,0
paper_106,RDD,,RDD,unclear,RDD,unclear,RDD,negative,RDD,negative,0,1
paper_107,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,0,0
paper_108,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_109,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_110,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_111,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_112,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_113,RDD,,RDD,unclear,RDD,unclear,,positive,,positive,0,1
paper_114,IV,unclear,IV,unclear,,unclear,IV,,,,0,0
paper_115,IV,,IV,unclear,IV,unclear,IV,positive,IV,positive,0,1
paper_116,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,0,0
paper_117,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,0,0
paper_118,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_119,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_120,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_121,DID,unclear,,unclear,DID,unclear,DID,unclear,,unclear,0,0
paper_122,DID,negative,DID,negative,DID,negative,,negative,,negative,0,0
paper_123,IV,unclear,IV,unclear,IV,unclear,IV,,IV,,0,0
paper_124,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_125,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_126,RDD,unclear,RDD,unclear,,unclear,RDD,,,,0,0
paper_127,DID,negative,DID,negative,DID,negative,DID,negative,DID,negative,0,0
paper_128,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_129,DID,negative,DID,negative,DID,negative,DID,negative,DID,negative,0,0
paper_130,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_131,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_132,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_133,,,DID,unclear,DID,unclear,IV,positive,IV,positive,1,1
paper_134,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_135,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_136,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_137,RDD,unclear,RDD,unclear,RDD,unclear,RDD,,RDD,,0,0
paper_138,DID,,DID,unclear,,unclear,DID,negative,,negative,0,1
paper_139,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_140,DID,,DID,unclear,DID,unclear,,positive,,positive,0,1
paper_141,,,,,,,,,,,-1,-1
paper_142,DID,unclear,DID,unclear,DID,unclear,,unclear,,unclear,0,0
paper_143,IV,unclear,IV,unclear,IV,unclear,IV,unclear,IV,unclear,0,0
paper_144,DID,positive,DID,positive,DID,positive,,positive,,positive,0,0
paper_145,DID,negative,DID,negative,DID,negative,DID,negative,DID,negative,0,0
paper_146,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_147,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_148,DID,unclear,DID,unclear,,unclear,DID,,,,0,0
paper_149,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_150,DID,,DID,unclear,DID,unclear,,positive,,positive,0,1
paper_151,OTHER,unclear,,unclear,OTHER,unclear,,,OTHER,,0,0
paper_152,,,RDD,unclear,RDD,unclear,IV,positive,IV,positive,1,1
paper_153,RDD,negative,RDD,negative,,negative,,negative,RDD,negative,0,0
paper_154,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_155,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_156,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_157,DID,,DID,unclear,DID,unclear,,positive,,positive,0,1
paper_158,DID,unclear,DID,unclear,DID,unclear,,,,,0,0
paper_159,DID,,DID,unclear,DID,unclear,,positive,,positive,0,1
paper_160,IV,positive,,,,,IV,positive,IV,positive,0,0
paper_161,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_162,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_163,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_164,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_165,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_166,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_167,DID,positive,DID,,DID,,DID,positive,DID,positive,0,0
paper_168,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_169,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_170,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_171,,,DID,unclear,DID,unclear,IV,negative,IV,negative,1,1
paper_172,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_173,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,0,0
paper_174,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_175,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_176,OTHER,,OTHER,unclear,OTHER,unclear,OTHER,positive,OTHER,positive,0,1
paper_177,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,unclear,0,0
paper_178,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,unclear,0,0
paper_179,DID,unclear,DID,unclear,DID,unclear,,unclear,,unclear,0,0
paper_180,OTHER,unclear,OTHER,unclear,OTHER,unclear,OTHER,,OTHER,,0,0
paper_181,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_182,IV,,IV,unclear,IV,unclear,IV,positive,IV,positive,0,1
paper_183,OTHER,positive,,positive,OTHER,positive,OTHER,positive,,positive,0,0
paper_184,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_185,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_186,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_187,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_188,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_189,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_190,RDD,,RDD,unclear,RDD,unclear,RDD,positive,RDD,positive,0,1
paper_191,DID,unclear,DID,unclear,DID,unclear,,unclear,,unclear,0,0
paper_192,IV,,IV,unclear,IV,unclear,IV,positive,IV,positive,0,1
paper_193,,negative,DID,negative,DID,,IV,,IV,negative,1,0
paper_194,IV,unclear,IV,unclear,,unclear,IV,,,,0,0
paper_195,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,0,0
paper_196,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_197,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_198,DID,unclear,,,,unclear,DID,,DID,unclear,0,0
paper_199,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_200,DID,negative,DID,negative,DID,negative,,negative,,negative,0,0
paper_201,IV,unclear,IV,unclear,IV,unclear,IV,unclear,IV,unclear,0,0
paper_202,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_203,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,0,0
paper_204,DID,,DID,,DID,,DID,,DID,,0,-1
paper_205,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_206,OTHER,,,unclear,OTHER,unclear,OTHER,positive,,positive,0,1
paper_207,DID,unclear,DID,unclear,DID,unclear,,unclear,,unclear,0,0
paper_208,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,0,0
paper_209,RDD,,RDD,,RDD,,RDD,,RDD,,0,-1
paper_210,RDD,unclear,RDD,unclear,RDD,unclear,RDD,,RDD,,0,0
paper_211,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_212,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_213,DID,positive,DID,,DID,,DID,positive,DID,positive,0,0
paper_214,DID,unclear,DID,unclear,DID,unclear,,unclear,,unclear,0,0
paper_215,IV,positive,IV,positive,IV,positive,IV,positive,IV,positive,0,0
paper_216,DID,,DID,unclear,DID,unclear,,positive,,positive,0,1
paper_217,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,RDD,unclear,0,0
paper_218,DID,,DID,,DID,,DID,,DID,,0,-1
paper_219,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_220,DID,unclear,DID,unclear,DID,unclear,,unclear,,unclear,0,0
paper_221,DID,positive,,,DID,,,positive,DID,positive,0,0
paper_222,DID,positive,,,DID,,,positive,DID,positive,0,0
paper_223,IV,positive,,,,,IV,positive,IV,positive,0,0
paper_224,IV,unclear,IV,unclear,IV,unclear,IV,,IV,,0,0
paper_225,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_226,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_227,DID,,DID,unclear,,unclear,DID,positive,,positive,0,1
paper_228,IV,unclear,IV,unclear,IV,unclear,IV,,IV,,0,0
paper_229,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_230,DID,positive,DID,,DID,,DID,positive,DID,positive,0,0
paper_231,DID,negative,DID,,DID,,DID,negative,DID,negative,0,0
paper_232,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_233,OTHER,,OTHER,unclear,OTHER,unclear,OTHER,negative,OTHER,negative,0,1
paper_234,EVENT_STUDY,,EVENT_STUDY,unclear,EVENT_STUDY,unclear,EVENT_STUDY,negative,EVENT_STUDY,negative,0,1
paper_235,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_236,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_237,IV,positive,IV,,IV,,IV,positive,IV,positive,0,0
paper_238,DID,unclear,DID,unclear,DID,unclear,DID,unclear,DID,unclear,0,0
paper_239,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_240,,,EVENT_STUDY,unclear,DID,unclear,DID,negative,EVENT_STUDY,negative,1,1
paper_241,DID,unclear,DID,unclear,DID,unclear,DID,,DID,,0,0
paper_242,DID,,DID,unclear,DID,unclear,,positive,,positive,0,1
paper_243,DID,positive,DID,positive,DID,positive,DID,positive,DID,positive,0,0
paper_244,IV,positive,IV,positive,IV,,IV,,IV,positive,0,0
paper_245,DID,,DID,unclear,DID,unclear,DID,negative,DID,negative,0,1
paper_246,OTHER,,OTHER,unclear,OTHER,unclear,OTHER,positive,OTHER,positive,0,1
paper_247,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_248,DID,,DID,unclear,DID,unclear,DID,positive,DID,positive,0,1
paper_249,IV,positive,,,,,IV,positive,IV,positive,0,0
paper_250,IV,unclear,IV,unclear,IV,unclear,IV,,IV,,0,0
paper_251,DID,unclear,DID,unclear,DID,unclear,,,,,0,0
paper_252,,positive,,positive,,,,positive,,,-1,0
paper_253,DID,unclear,DID,unclear,DID,unclear,,,,,0,0
paper_254,RDD,unclear,RDD,unclear,RDD,unclear,RDD,,RDD,,0,0
paper_255,RDD,unclear,RDD,unclear,RDD,unclear,RDD,,RDD,,0,0
paper_256,RDD,unclear,RDD,unclear,RDD,unclear,RDD,,RDD,,0,0
paper_257,DID,unclear,DID,unclear,DID,unclear,,,,,0,0
paper_258,RDD,unclear,RDD,unclear,RDD,unclear,RDD,,RDD,,0,0
paper_259,IV,unclear,IV,unclear,IV,unclear,,,,,0,0
paper_260,,,,,IV,unclear,RDD,positive,,,1,1
paper_261,DID,unclear,DID,unclear,DID,unclear,,,,,0,0
paper_262,DID,unclear,DID,unclear,DID,unclear,,,,,0,0
